customer_id,supplied_at,volume,size
1671.0,2020-12-29 06:55:00,140.0,198
1671.0,2021-01-13 06:59:00,102.2,198
1671.0,2021-01-28 08:46:00,108.7,198
1671.0,2021-02-13 08:09:00,131.6,198
1671.0,2021-02-26 07:05:00,97.7,198
1671.0,2021-03-10 06:36:00,69.0,198
1671.0,2021-03-26 06:57:00,97.5,198
1671.0,2021-04-07 10:06:00,55.7,198
1671.0,2021-04-19 09:07:00,75.6,198
1671.0,2021-11-13 07:20:00,64.0,198
1671.0,2021-11-26 06:48:00,62.5,198
1671.0,2021-12-14 08:57:00,121.9,198
1671.0,2021-12-29 07:19:00,143.5,198
1671.0,2022-01-11 07:09:00,111.1,198
1671.0,2022-01-28 06:59:00,132.7,198
1671.0,2022-02-11 07:33:00,116.0,198
1671.0,2022-03-01 08:18:00,153.6,198
1671.0,2022-03-17 07:12:00,119.0,198
1711.0,2020-11-11 08:02:00,276.0,446
1711.0,2020-11-25 15:27:00,464.8,446
1711.0,2020-12-03 07:15:00,164.2,446
1711.0,2020-12-11 19:41:00,200.0,446
1711.0,2020-12-21 07:41:00,204.0,446
1711.0,2020-12-30 07:11:00,230.9,446
1711.0,2021-01-07 07:50:00,147.6,446
1711.0,2021-01-20 18:18:00,362.7,446
1711.0,2021-01-29 07:04:00,197.9,446
1711.0,2021-02-13 08:35:00,365.4,446
1711.0,2021-02-26 07:29:00,262.2,446
1711.0,2021-03-11 10:10:00,281.3,446
1711.0,2021-03-25 09:10:00,185.4,446
1711.0,2021-04-12 08:50:00,158.9,446
1711.0,2021-11-13 08:57:00,140.5,446
1711.0,2021-11-26 07:48:00,108.1,446
1711.0,2021-12-07 07:29:00,118.5,446
1711.0,2021-12-16 08:07:00,63.5,446
1711.0,2021-12-27 08:06:00,202.2,446
1711.0,2022-01-11 07:35:00,178.7,446
1711.0,2022-01-29 16:34:00,342.1,446
1711.0,2022-02-12 10:05:00,222.9,446
1711.0,2022-03-05 07:11:00,295.1,446
1761.0,2020-11-13 16:54:00,121.8,400
1761.0,2020-11-23 08:33:00,268.9,400
1761.0,2020-12-01 07:11:00,170.7,400
1761.0,2020-12-10 06:38:00,253.0,400
1761.0,2020-12-21 07:19:00,333.7,400
1761.0,2020-12-30 06:55:00,248.5,400
1761.0,2021-01-07 07:29:00,262.4,400
1761.0,2021-01-18 06:54:00,376.7,400
1761.0,2021-01-28 09:25:00,306.8,400
1761.0,2021-02-05 07:26:00,314.7,400
1761.0,2021-02-13 09:17:00,253.0,400
1761.0,2021-02-24 07:30:00,299.5,400
1761.0,2021-03-08 07:35:00,312.1,400
1761.0,2021-03-18 06:31:00,200.4,400
1761.0,2021-04-05 09:55:00,214.6,400
1761.0,2021-04-19 09:36:00,250.3,400
1761.0,2021-11-13 07:38:00,136.4,400
1761.0,2021-11-26 07:00:00,233.5,400
1761.0,2021-12-07 06:57:00,240.6,400
1761.0,2021-12-16 07:12:00,202.8,400
1761.0,2021-12-27 07:12:00,359.9,400
1761.0,2022-01-05 07:42:00,259.4,400
1761.0,2022-01-15 08:45:00,250.1,400
1761.0,2022-01-26 07:44:00,468.7,400
1761.0,2022-02-05 07:48:00,263.5,400
1761.0,2022-02-16 17:40:00,451.5,400
1761.0,2022-03-01 08:03:00,373.9,400
1761.0,2022-03-10 07:24:00,194.6,400
1791.0,2020-11-17 18:20:00,71.2,198
1791.0,2020-11-26 06:55:00,76.4,198
1791.0,2020-12-11 19:13:00,116.8,198
1791.0,2020-12-21 07:51:00,124.5,198
1791.0,2020-12-30 07:26:00,131.4,198
1791.0,2021-01-07 08:06:00,151.2,198
1791.0,2021-01-18 07:23:00,209.4,198
1791.0,2021-01-28 09:35:00,157.0,198
1791.0,2021-02-05 08:36:00,95.8,198
1791.0,2021-02-13 12:20:00,100.9,198
1791.0,2021-02-24 08:46:00,85.9,198
1791.0,2021-03-11 10:17:00,74.5,198
1791.0,2021-04-07 10:33:00,100.6,198
1791.0,2021-11-13 09:05:00,80.6,198
1791.0,2021-11-26 08:02:00,132.1,198
1791.0,2021-12-07 07:51:00,130.9,198
1791.0,2021-12-16 08:47:00,88.8,198
1791.0,2021-12-27 09:23:00,210.1,198
1791.0,2022-01-05 09:05:00,118.2,198
1791.0,2022-01-17 16:15:00,230.7,198
1791.0,2022-01-26 08:21:00,108.8,198
1791.0,2022-02-02 11:03:00,129.1,198
1791.0,2022-02-11 08:56:00,107.0,198
1791.0,2022-02-25 10:17:00,162.9,198
1791.0,2022-03-10 07:33:00,153.2,198
1831.0,2020-11-20 09:09:00,126.5,492
1831.0,2020-12-10 11:48:00,125.8,492
1831.0,2020-12-29 07:14:00,162.8,492
1831.0,2021-01-18 11:21:00,134.2,492
1831.0,2021-02-05 11:34:00,315.3,492
1831.0,2021-02-24 08:56:00,290.2,492
1831.0,2021-03-18 07:38:00,150.2,492
1831.0,2021-04-07 10:48:00,88.7,492
1831.0,2021-11-24 12:33:00,139.9,492
1831.0,2021-12-14 09:23:00,123.6,492
1831.0,2022-01-05 11:34:00,137.3,492
1831.0,2022-01-26 08:54:00,102.2,492
1831.0,2022-02-16 16:58:00,95.0,492
1831.0,2022-03-08 15:27:00,94.2,492
1841.0,2020-11-17 17:53:00,340.4,198
1841.0,2020-11-26 07:10:00,187.2,198
1841.0,2020-12-01 10:01:00,140.1,198
1841.0,2020-12-11 18:55:00,352.2,198
1841.0,2020-12-22 07:49:00,415.2,198
1841.0,2020-12-30 07:35:00,284.8,198
1841.0,2021-01-07 08:23:00,306.8,198
1841.0,2021-01-18 07:33:00,342.6,198
1841.0,2021-01-20 17:59:00,235.7,198
1841.0,2021-01-29 07:19:00,359.9,198
1841.0,2021-02-05 11:20:00,341.2,198
1841.0,2021-02-13 12:29:00,328.1,198
1841.0,2021-02-24 08:21:00,393.9,198
1841.0,2021-03-08 08:10:00,399.6,198
1841.0,2021-03-18 07:17:00,235.8,198
1841.0,2021-04-05 10:40:00,245.9,198
1841.0,2021-04-19 15:46:00,287.7,198
1841.0,2021-11-13 09:23:00,181.5,198
1841.0,2021-11-26 08:10:00,295.8,198
1841.0,2021-12-07 08:06:00,290.6,198
1841.0,2021-12-16 08:59:00,238.9,198
1841.0,2021-12-27 09:52:00,484.4,198
1841.0,2022-01-05 09:14:00,346.8,198
1841.0,2022-01-15 09:15:00,440.6,198
1841.0,2022-01-24 19:24:00,389.2,198
1841.0,2022-02-02 10:54:00,377.9,198
1841.0,2022-02-12 10:26:00,403.3,198
1841.0,2022-02-23 11:51:00,411.2,198
1841.0,2022-03-05 09:32:00,294.3,198
1841.0,2022-03-16 09:34:00,302.5,198
1961.0,2020-11-11 08:42:00,108.0,198
1961.0,2020-11-20 09:35:00,73.0,198
1961.0,2020-12-01 14:22:00,152.3,198
1961.0,2020-12-10 11:17:00,94.7,198
1961.0,2020-12-17 07:53:00,118.2,198
1961.0,2020-12-25 09:20:00,128.8,198
1961.0,2021-01-03 10:26:00,162.6,198
1961.0,2021-01-11 10:57:00,122.3,198
1961.0,2021-01-18 10:32:00,136.2,198
1961.0,2021-01-28 11:52:00,152.8,198
1961.0,2021-02-05 10:42:00,112.1,198
1961.0,2021-02-13 11:05:00,135.9,198
1961.0,2021-02-24 10:13:00,165.3,198
1961.0,2021-03-08 08:27:00,142.7,198
1961.0,2021-03-18 08:55:00,138.6,198
1961.0,2021-04-05 11:20:00,113.5,198
1961.0,2021-04-19 10:13:00,107.8,198
1961.0,2021-11-13 10:00:00,84.3,198
1961.0,2021-11-26 10:11:00,141.0,198
1961.0,2021-12-07 09:48:00,138.4,198
1961.0,2021-12-16 10:29:00,128.6,198
1961.0,2021-12-23 09:48:00,117.4,198
1961.0,2021-12-29 09:35:00,108.4,198
1961.0,2022-01-05 10:23:00,111.1,198
1961.0,2022-01-14 14:25:00,177.0,198
1961.0,2022-01-24 18:43:00,143.1,198
1961.0,2022-02-02 09:50:00,148.6,198
1961.0,2022-02-10 16:25:00,162.2,198
1961.0,2022-02-18 11:46:00,107.9,198
1961.0,2022-02-28 12:05:00,158.8,198
1961.0,2022-03-10 10:32:00,132.1,198
2311.0,2020-11-17 09:48:00,128.9,446
2311.0,2020-12-02 14:17:00,88.0,446
2311.0,2020-12-16 10:28:00,75.4,446
2311.0,2020-12-29 16:11:00,102.4,446
2311.0,2021-01-09 16:01:00,136.7,446
2311.0,2021-01-22 11:15:00,100.9,446
2311.0,2021-02-05 16:25:00,102.9,446
2311.0,2021-02-18 11:00:00,80.2,446
2311.0,2021-03-05 15:32:00,159.3,446
2311.0,2021-03-22 13:36:00,177.8,446
2311.0,2021-11-11 08:37:00,78.9,446
2311.0,2021-11-26 08:54:00,102.3,446
2311.0,2021-12-10 15:59:00,131.1,446
2311.0,2021-12-27 14:31:00,190.5,446
2311.0,2022-01-10 10:57:00,112.0,446
2311.0,2022-01-24 16:21:00,90.9,446
2311.0,2022-02-09 13:46:00,124.8,446
2311.0,2022-02-26 16:35:00,112.1,446
2311.0,2022-03-09 13:53:00,76.7,446
2351.0,2020-11-24 08:23:00,102.6,446
2351.0,2020-12-02 13:52:00,64.0,446
2351.0,2020-12-16 11:03:00,147.1,446
2351.0,2020-12-24 14:00:00,103.9,446
2351.0,2021-01-11 15:00:00,139.3,446
2351.0,2021-01-20 08:23:00,130.9,446
2351.0,2021-01-29 08:10:00,124.0,446
2351.0,2021-02-08 15:09:00,145.5,446
2351.0,2021-02-15 15:58:00,112.9,446
2351.0,2021-02-27 10:08:00,133.5,446
2351.0,2021-03-17 15:50:00,185.3,446
2351.0,2021-04-05 10:20:00,107.2,446
2351.0,2021-11-10 14:25:00,82.8,446
2351.0,2021-11-26 15:57:00,71.4,446
2351.0,2021-12-06 14:18:00,97.2,446
2351.0,2021-12-17 08:41:00,81.4,446
2351.0,2021-12-29 12:32:00,19.1,446
2351.0,2022-01-05 17:35:00,100.2,446
2351.0,2022-01-15 08:54:00,112.9,446
2351.0,2022-01-24 16:13:00,92.1,446
2351.0,2022-02-05 16:50:00,124.0,446
2351.0,2022-02-19 14:40:00,84.0,446
2351.0,2022-02-25 17:20:00,126.4,446
2351.0,2022-03-10 17:06:00,129.5,446
2621.0,2020-11-25 16:52:00,205.3,198
2621.0,2020-12-21 13:41:00,428.9,198
2621.0,2021-01-04 15:07:00,287.5,198
2621.0,2021-01-18 09:32:00,309.8,198
2621.0,2021-02-03 15:54:00,385.8,198
2621.0,2021-02-20 17:21:00,344.8,198
2621.0,2021-03-11 13:09:00,334.0,198
2621.0,2021-11-10 13:48:00,241.7,198
2621.0,2021-12-09 09:45:00,256.9,198
2621.0,2021-12-24 14:01:00,313.5,198
2621.0,2022-01-07 09:09:00,322.1,198
2621.0,2022-01-18 14:02:00,286.0,198
2621.0,2022-02-04 15:00:00,404.2,198
2621.0,2022-02-24 10:08:00,415.0,198
2771.0,2020-11-13 15:26:00,416.7,904
2771.0,2020-12-02 13:25:00,613.5,904
2771.0,2020-12-14 16:33:00,515.3,904
2771.0,2020-12-21 13:30:00,859.8,904
2771.0,2020-12-28 14:01:00,334.8,904
2771.0,2021-01-05 17:32:00,970.1,904
2771.0,2021-01-12 18:30:00,752.9,904
2771.0,2021-01-19 16:53:00,792.8,904
2771.0,2021-01-25 10:50:00,494.3,904
2771.0,2021-02-01 11:30:00,579.2,904
2771.0,2021-02-08 12:00:00,550.5,904
2771.0,2021-02-15 16:16:00,366.0,904
2771.0,2021-02-22 10:40:00,463.9,904
2771.0,2021-03-02 12:40:00,1042.4,904
2771.0,2021-03-08 15:07:00,278.6,904
2771.0,2021-03-16 14:21:00,195.3,904
2771.0,2021-03-24 10:25:00,148.4,904
2771.0,2021-04-16 14:42:00,324.1,904
2771.0,2021-11-17 14:48:00,446.4,904
2771.0,2021-12-06 13:56:00,484.1,904
2771.0,2021-12-15 13:08:00,265.4,904
2771.0,2021-12-21 12:35:00,840.9,904
2771.0,2021-12-28 14:20:00,832.9,904
2771.0,2022-01-05 16:29:00,967.1,904
2771.0,2022-01-11 10:02:00,346.2,904
2771.0,2022-01-18 12:48:00,1358.2,904
2771.0,2022-01-24 13:05:00,545.9,904
2771.0,2022-01-31 12:35:00,697.5,904
2771.0,2022-02-08 11:51:00,1256.6,904
2771.0,2022-02-14 16:01:00,215.6,904
2771.0,2022-02-22 15:28:00,931.0,904
2771.0,2022-03-04 10:13:00,1205.0,904
