index,customer_id,supplied_at,volume,size
145,2181.0,2021-01-06 15:21:00,210.0,492
146,2181.0,2021-01-13 08:12:00,218.0,492
147,2181.0,2021-01-20 17:36:00,217.2,492
148,2181.0,2021-01-26 17:18:00,171.6,492
149,2181.0,2021-02-02 07:41:00,182.2,492
150,2181.0,2021-02-09 11:22:00,229.4,492
151,2181.0,2021-02-16 08:51:00,165.1,492
152,2181.0,2021-02-22 11:56:00,167.8,492
153,2181.0,2021-03-03 09:53:00,260.9,492
154,2181.0,2021-03-11 09:37:00,239.5,492
155,2181.0,2021-03-18 08:25:00,165.3,492
156,2181.0,2021-04-05 11:09:00,380.6,492
157,2181.0,2021-04-15 15:33:00,193.3,492
158,2181.0,2021-04-28 07:31:00,220.1,492
159,2181.0,2021-11-13 09:45:00,98.4,492
160,2181.0,2021-11-26 08:54:00,171.5,492
161,2181.0,2021-12-07 08:47:00,262.7,492
162,2181.0,2021-12-14 11:15:00,150.1,492
163,2181.0,2021-12-17 14:37:00,83.1,492
164,2181.0,2021-12-23 08:10:00,204.7,492
165,2181.0,2021-12-29 08:09:00,218.7,492
166,2181.0,2022-01-05 10:53:00,250.3,492
167,2181.0,2022-01-11 08:43:00,236.3,492
168,2181.0,2022-01-18 12:47:00,262.0,492
169,2181.0,2022-01-24 11:55:00,223.9,492
170,2181.0,2022-01-31 15:22:00,268.0,492
171,2181.0,2022-02-08 15:55:00,321.6,492
172,2181.0,2022-02-16 16:43:00,283.7,492
173,2181.0,2022-02-24 08:14:00,198.1,492
174,2181.0,2022-03-05 09:08:00,412.8,492
175,2181.0,2022-03-16 09:56:00,341.2,492
176,2261.0,2020-11-17 09:18:00,211.1,446
177,2261.0,2020-12-07 16:43:00,171.5,446
178,2261.0,2020-12-16 10:14:00,99.9,446
179,2261.0,2020-12-24 16:41:00,152.2,446
180,2261.0,2020-12-29 14:34:00,104.9,446
181,2261.0,2021-01-07 16:42:00,133.7,446
